Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
Nanette Wrobel,"People, Inc",,Sales - Initial Communication,NY,NJ,50,10%,9/1/2025,Multiple,Courier,11,followup from previous rep,11/3/2023,28310151974
Nanette Wrobel,Mosaic - IL,Mosaic,Sales - Contract Negotiation,IL,IL,48,75%,4/1/2025,PAL,FedEx,1,working with nurse executive to move faster than July 2025,8/30/2024,28308609368
Adam Chittam,"Charles Lea Center (TN, NC)",,Onboarding - In Progress,NC,SC,20,100%,1/1/2025,muliple local retail,FedEx,2,being 100% onboarded out of SC location (per Katie),7/26/2024,28308454919
AJ Forster,Melmark Engle (372118),Melmark,Onboarding - Complete,PA,NJ,85,100%,7/1/2024,Grane,Central Office,1,Signed. Go live 7.1 (155 people),3/1/2023,28306707094
Jess Jacobs,"First Resources - Oskaloosa, IA",,Onboarding - Complete,IA,Austin,4,100%,9/1/2024,Jack's Corner,Central Office,1,onboarded directly through triage,3/1/2023,28304848752
Jess Jacobs,Hills and Dales,,Sales - Initial Communication,IA,Austin,60,25%,3/1/2025,Local,Hybrid,8,"Currently happy with local pharmacy but would like to expolore efficienies, new to iCare Manager",5/10/2024,28301695667
Nanette Wrobel,RHA Rogersville (TN Acq) (106521),RHA,Onboarding - Complete,TN,Austin,16,100%,3/1/2024,McFarlands,,,"OB: rec'd demos on 2/9 - start entering, needs short cycle 3/11 to 3/31;  Need packet and all data (call scheduled 2/6)",1/26/2024,28301386931
Adam Chittam,Pineland BHDD (CSB),,Sales - Initial Communication,GA,GA,20,20%,10/1/2025,Guardian,FedEx,3,Reaching back out to DHS for meeting on service level.,1/12/2024,28298846752
AJ Forster,Community Services Group,,Sales - Initial Communication,PA,NJ,100,10%,6/1/2025,TBD,TBD,1,"100 residents, reached out to additional leadership team",10/16/2023,28309536933
Deb Maloy,"Rauch, Inc",,Sales - Initial Communication,IN,Austin,40,10%,12/1/2025,Local,Courier,3,Ongoing follow up,10/6/2023,28301075584
Adam Chittam,Tri-Support Systems Inc.,,Sales - Inactive,NC,Austin,13,30%,4/1/2025,Multiple local,Central Office,1,re-touching base for presentation date,1/4/2024,28300922233
Jess Jacobs,RedwinHCS (2323),,Onboarding - Complete,TX,Austin,18,100%,4/1/2024,MedScripts (local),Central Office,8,"Sales: Agreeement signed and received, slated for 3/1 go-live, collecting data and need to schedule onboarding meeting",12/12/2024,28299311145
Nanette Wrobel,Park Lawn,,Sales - Presentation,IL,IL,108,30%,6/1/2025,TBD,Fed Ex,,"appt in Dec 2024, met ED at Institute have 40 bed ICF and 8 cilas",10/18/2024,28310765925
Marc Altholz,Gray Legacy Services LaGrange,,Onboarding - Complete,TX,Austin,57,100%,11/1/2024,TBD,Deliver to Office,1,,10/9/2024,28308918966
Marc Altholz,Symbria File Buy - Koinonia Brooklyn (182201); Koinonia Brookpark (182203),,Onboarding - Complete,OH,Austin,0,100%,1/1/2024,Symbria,Deliver to Home,1,OB: #15 pts total - Remaining 2 facs from Symbria; short cycles in process,,28307990125
Adam Chittam,All Care Home Health (252071),,Onboarding - Complete,GA,GA,46,100%,9/1/2024,Angus Lake,Deliver to home,15,"Agreement signed, working with Jesse Hughes to connect with Therap to avoid incumbent pharmacy causing problems like they did with Wesley Glenn",4/10/2024,28305470297
AJ Forster,Our House Inc.,,Sales - Initial Communication,NJ,NJ,80,10%,5/1/2025,Union/Elizabeth,courier,15,Met QA and Home Managers at NJACP Conference.,3/21/2024,28302004258
Nanette Wrobel,Evergreen Life Services - TN Greeneville,,Sales - Inactive,TN,Austin,35,25%,6/1/2025,Corley's,FedEx,1,following up on opportunity from previous Rep,6/14/2024,28300768066
Blaire Reed,Marla's Community Living Services,,Sales - Initial Communication,TX,Austin,40,10%,5/1/2025,Local,Central Office,1,"Connected at PACSTX. Scheduling meeting with administrator-Shana and rest of team. Reaching out again tomorrow

",1/6/2025,28300238214
AJ Forster,The Arc of Howard County,,Sales - Initial Communication,MD,NJ,115,10%,5/1/2025,Alfa,Fed-Ex,35,Continue to reach out to leadership,5/31/2024,28300083242
Nanette Wrobel,Active Visions Home (412190),,Onboarding - Complete,IL,IL,9,100%,7/1/2024,Local,Deliver-to-home,3,need delivery sites for contract production,3/22/2024,28299154733
Nanette Wrobel,Evergreen Life Services - KY,,Sales - Inactive,KY,Austin,45,80%,6/1/2025,Pharmacy Alternatives,FedEx,2,following up on opportunity from previous Rep,6/14/2024,28299002449
Blaire Reed,Medical Management Enterprises,,Sales - Initial Communication,LA,LA,28,10%,4/1/2025,Dupres,Central Office,1,"Connected with Jonathan Landry, Program Coordinator at meal program. Stopping by next week during LA visit
",8/23/2024,28303082611
Adam Chittam,Core Services of NE TN,,Sales - Initial Communication,TN,Austin,40,10%,8/1/2025,local,FedEx,5,"Wendy spoke with Susan Arwood (CEO) at NAQ and we are setting up a presentation, no response, following up",8/16/2025,28302161987
Holly DeRosett,Overture Services,,Sales - Inactive,CO,Austin,80,10%,4/1/2025,PDC,,,This deal is being closed due to no response. Will reopen once meeting is scheduled.,7/26/2024,28297886569
Adam Chittam,Community Options TN,Community Options,Sales - Initial Communication,TN,Austin,150,40%,1/1/2026,2 Locals (one DelMar),FedEx,10,Gave State Dir (Meika) references and she said she will be in touch soon.  Marc also reaching out,10/23/2023,28309228450
Mary Pelletier,Vinfen - CT,,Sales - Initial Communication,CT,CT,100,25%,5/1/2025,Suburban,Courier,40,"CREC home absorbed by Vinfen- DON-replied not ready until late spring; scheduling mtg in early Feb.
",6/11/2024,28299776629
Nanette Wrobel,Brookwood in Georgetown (BIG),Brookwood Community,Sales - Inactive,TX,Austin,80,20%,9/1/2025,TBD,TBD,,new facility opening up,10/1/2024,28296738702
Nanette Wrobel,Greystone Programs Inc,,Sales - Initial Communication,NY,NJ,110,10%,9/1/2025,Hudson Regional LTC Pharm,Courier,17,Assoc. ExD taking info to CEO for presentation; Strong ties with Hudson;like data and efficiencies; 3 more homes in the future.,1/12/2024,28303237259
Jess Jacobs,Regency Care Home (2335),,Onboarding - Complete,TX,Austin,41,100%,2/1/2024,Various Local,Deliver to Home,32,"OB, 1/25: NEED: Orders x 10 pts and MDs for 4 of the 10; received pharamcy info for ~2/3, will still need to reach out to MDs before transfers can start on 2/1; Sales: agreement returned, onboarding call scheduled for 12/1, gathering data",11/16/2023,28302617377
Jess Jacobs,"Exceptional Persons, Inc",,Sales - Inactive,IA,Austin,100,10%,3/1/2025,"Charles City LTC, Bradds Corner",,27,"Left message for Maghan Bowman, working to connect and coordinate presenation",4/28/2023,28301075583
Adam Chittam,Bios Corp,Bios,Sales - Inactive,TN,Austin,46,70%,8/1/2025,Guardian (MTPS),FedEx,6,"Waiting to hear back from COO (Shannon Holcomb) to see where they are with internal staffing.
",10/25/2023,28297204377
Jess Jacobs,Mainstream Living IDD - Des Moines (472113),Mainstream Living,Onboarding - Complete,IA,Austin,80,100%,2/1/2024,Medicap,Central Office,1,"Sales: Addendum signed, go live set for 2/1/2024, data gathering and scheudling onboaridng call for week of 12/18",3/1/2023,28309691541
Adam Chittam,Charles Lea Center (SC),,Sales - Presentation,SC,SC,250,60%,5/1/2025,Palmetto Rx,Courier,15,Meeting with VP 1/9 to review NC and keep SC & TN discussions going,7/26/2024,28310304358
Jess Jacobs,Capper Foundation - Winfield,Capper Foundation,Sales - Inactive,KS,KS-Wichita,44,75%,3/1/2025,Winfield Pharmacy,,1,readdressing transistion Q1 of 2025 due to internal initiatives and staffing.,9/22/2023,28305932104
Jess Jacobs,ResCare Wichita Kansas,ResCare Kansas,Sales - Inactive,KS,KS-Wichita,55,10%,3/1/2025,Duranduran and Pharmacy Alternatives,Central,4,"coordinating with Taylor Woods, regional director that we currenlty serve a handful of residents.",1/26/2024,28297204376
Adam Chittam,Hartwood,,Sales - Initial Communication,VA,Austin,125,10%,9/1/2025,Local Family Care,FedEx,10,"good relationship with Family Care Pharmacy, working to get a presentation date",7/19/2024,28308609367
Jess Jacobs,Sesdac,,Sales - Inactive,SD,Austin,80,10%,1/1/2025,Lewis and Clark,Central Office,2,"speaking with LPN, Kelly and owner Ionela, dropping by additional information",8/23/2024,28306245443
Jess Jacobs,Southern Iowa Resources for Families,Heartland Management,Sales - Presentation,IA,Austin,45,25%,3/1/2025,Medicap,Central Office,4,"met with April Hansen, Case Manager Supervisor, waiting for nurse introduction after holiday",6/28/2024,28305470296
Deb Maloy,Benchmark-GA (via GA triage) (252060),,Onboarding - Complete,GA,GA,6,100%,3/1/2024,PAL,Group Homes,5,"Starting with two new homes opening in Augusta (opened week of 3/4/24) contract secured, awaiting admissions.",5/1/2023,28300456068
AJ Forster,Saint John's Community Services - DE,SJCS,Sales - Initial Communication,DE,NJ,150,10%,5/1/2025,TBD,Cental office,1,Notified that they are having pharmacy issues on 12/19. Contacted 12/20 for presentation.,6/1/2023,28299927983
Nanette Wrobel,Achieve NY,,Sales - Initial Communication,NY,NJ,,10%,9/1/2025,TBD,TBD,,"nurse attended lunch-Oneonta, will speak with DON for appt",7/1/2024,28308918965
Blaire Reed,Ability Connection,,Sales - Initial Communication,TX,Austin,50,10%,4/1/2025,Randol Mill,Central Office,1,"Stopping by next week
",9/6/2024,28310765924
Nanette Wrobel,ASPIRE- WNY,Aspire,Sales - Initial Communication,NY,NJ,240,10%,6/1/2025,Multiple,Courier,43,followup from previous rep,2/22/2024,28297204375
Adam Chittam,Diversified Enterprises (252069),,Onboarding - Complete,GA,GA,18,100%,8/1/2024,multiple local,Office/Home,3,spoke with ED on 6/12 and they are ready to sign and get the ball rolling!,4/26/2024,28309228449
Blaire Reed,Alexander Milne Developmental Services,,Sales - Initial Communication,LA,LA,48,10%,4/1/2025,Gulfcoast/GPS,Central Office,1,Connected through meal program invite. Connecting with local contacts. Reached out 1/2 from pharmacy survey. Stopping by next week during LA visit,8/23/2024,28310304357
Deb Maloy,Abilities LLC (MO),,Onboarding - In Progress,MO,IL,26,100%,3/1/2025,Local,FedEx,1,"Received contract, prepping for onboarding, received spreadsheet and PO's.
",3/29/2024,28299465537
Holly DeRosett,Rainbow Acres,,Onboarding - In Progress,AZ,Austin,70,100%,1/1/2025,Salibas,Office,1,Received signed agreement completed onboarding kick off call and started receiving data,9/5/2024,28297048984
Adam Chittam,BrightStone,,Sales - Initial Communication,TN,Austin,8,10%,11/1/2025,new residential provider,Central Office,1,Went with DelMar dispensing machines while arguing with state about med pass.  Want to move to use once resolved and they can serve broader spectrum of individuals (pushing out further 11/1/25),4/10/2024,28310457663
Blaire Reed,MCS Community Living,,Sales - Inactive,TX,Austin,6,10%,12/1/2025,Local,Central Office,1,Call in. Working to reconnect. Remove from pipeline.  Not large enough.,9/13/2024,28309074302
Adam Chittam,Holston Home for Children,,Sales - Presentation,TN,Austin,60,20%,12/1/2025,Corley's (local),Central office,1,Finalizing date with Lisa Mathis (nurse) for a presentation,2/2/2024,28301695666
Nanette Wrobel,RHA NC - Kinston (166553),RHA,Onboarding - Complete,NC,Austin,24,100%,3/1/2024,BlueRidge,Central Office,1,OB: will need short cycle 3/15 to 3/31; Sales:  RHA Kinston NC go live on March 1 2024 place in onboarding,3/1/2023,28300083241
Adam Chittam,EnCircle,,Sales - Initial Communication,VA,Austin,40,20%,7/1/2025,Pharmacy Alternatives,FedEx,5,briefly spoke with staff at the VNPP conference.  Following up to schedule a presentation,8/2/2024,28299311144
Deb Maloy,Logan Community Resources,,Sales - Contract Negotiation,IN,Austin,110,25%,5/1/2025,Williams Brothers,Courier,1,"Communicating to reconnect for onboarding
",6/28/2024,28296138347
Mary Pelletier,"HARC, Inc. ",Aspire Living & Learning Inc,Sales - Initial Communication,CT,CT,50,20%,5/1/2025,Suburban,courier,12,"Rescheduling meeting with Residential Director- may not get appt until later Feb.
",8/9/2024,32370157583
AJ Forster,Community Options - Central PA - Lancaster (377022),Community Options,Onboarding - Complete,PA,NJ,12,100%,4/1/2024,PDC,Deliver-to-home,1,"OB, 2/29: contract issues, pushing to 4/1 go live (Call with CO-PA on 2/1, other Central areas will be 4/1 go live d/t survey); Sales: Go Live 3/1 for Lancaster",11/22/2023,28307166758
Nanette Wrobel,Coveneant Enabling Part 3 Minn (432005),Covenent Church,Onboarding - Complete,MN,Austin,35,100%,3/1/2024,Falks Nursing Services LTC,Deliver to Home,6,"OB, 1/25: Move to 3/1 go live, may need short cycle, will only be 6 homes (not 7); Sales: contraCoct received to onboard 2/1/2024",8/1/2023,28305470295
Jess Jacobs,Ability Building Services,,Sales - Initial Communication,SD,Austin,45,10%,5/1/2025,Local(s),Central Office,3,"Nickie Anderson, Director of Residential Services, wasn't available, spoke with reception and will need some warming",8/23/2024,28305313142
Nanette Wrobel,AHRC Brooklyn (362012),AHRC,Onboarding - Complete,NY,NJ,83,100%,6/1/2024,Various,deliver to home,42,Bronx (122) and Bklyn (87,8/1/2023,28302774535
Deb Maloy,COR Services Findlay,,Onboarding - Complete,OH,Austin,18,100%,11/1/2024,Genoa and Local,,1,Working with second region to bring on board,8/16/2024,28300238213
Jess Jacobs,State of South Dakota CSP's,,Sales - Inactive,SD,Austin,400,10%,3/1/2025,Multiple,Varies,,presenting to all 19 CSP's at biannual meeting with Kathy/Nanette on 10/9,9/6/2024,28299927982
AJ Forster,Heart 2 Heart South NJ (396127),,Onboarding - Complete,NJ,NJ,60,100%,9/1/2024,IPPC,Deliver to home,7,,,28299154731
Nanette Wrobel,DDI,,Sales - Presentation,NY,NJ,234,50%,4/1/2025,TBD,deliver to home,42,"virtual presentation to RFP committee set for 2/6/25

",5/10/2024,28299002448
Nanette Wrobel,AHRC Manhattan (362011),AHRC,Onboarding - Complete,NY,NJ,93,100%,5/1/2024,Various,deliver to home,11,Staten Island(73)  and Manhattan (105),8/1/2023,28298690096
Holly DeRosett,Parker PCH (PBCH),,Sales - Presentation,CO,Austin,80,50%,3/1/2025,unknown,PDC/ Ward Road ,,"Scheduled meeting for Friday, January 24th at 10am. 
",9/1/2024,28296738701
Nanette Wrobel,CBS ( Community Based Services),,Sales - Initial Communication,NY,NJ,87,10%,9/1/2025,Majority is Health Smart Pharmcy,Courier,22,followup from previous rep,7/28/2023,28310920585
AJ Forster,"Richcroft, Inc.",,Sales - Initial Communication,MD,NJ,150,10%,5/1/2025,Northern,Fed-Ex,60,Working on presentation date with CEO Kevin,4/26/2024,28310611806
Mary Pelletier,HART United Inc,,Onboarding - Complete,CT,CT,62,100%,11/1/2024,Seabridge,Courier,12,9.24.24 presented/ gave notice for 10.31. contract due EOD Friday for onboarding call Monday.,,28306707093
Deb Maloy,St Charles Habilitation Center,,Sales - Initial Communication,MO,IL,30,20%,12/1/2025,Everspring,FedEx,4,"Reached out to agency, will continue follow up.",5/24/2024,28309536932
Adam Chittam,Open Arms Care Knoxville (102012),,Onboarding - Complete,TN,Austin,78,100%,7/1/2024,Synchrony,Central Office,1,Had initial pre-onboarding call and already have gathered info for each branch 2 pager,1/23/2023,28303237258
Adam Chittam,The Up Center,,Sales - Initial Communication,VA,Austin,80,20%,7/1/2025,Multiple,FedEx,6,Spoke with Director of DD Services (Natasha) and scheduling a presentation,10/16/2024,28299927981
Jess Jacobs,Region 1 Human Development Office,,Sales - Inactive,NE,Austin,60,10%,3/1/2025,Redler's,,5,"Area Director, Linda Bickford is meeting with her director to consider a presentation, requested an introduction",1/22/2024,28299776628
Adam Chittam,Bishopville DSN,,Sales - Inactive,SC,SC,20,20%,8/1/2025,Palmetto,Local,3,Pressing board member Elijah Dinkins at SCAAIDD after showing interest then ghosting me,3/20/2024,28309536931
Adam Chittam,Fairfield County DSNB (292214),,Onboarding - Complete,SC,SC,40,100%,4/25/2024,Palmetto,Courier to office,1,Onboarding directly through SC Pharmacy; Sales: Received signed contract last Tuesday and had Onboarding Kickoff call Wed 2/14 (SC onboarding only),8/3/2023,28308144269
Mary Pelletier,Abilis,Abilis,Sales - Initial Communication,CT,CT,100,20%,9/1/2025,CT Pharmacy,Courier,23,DON is willing to meet but continues to be unavailable to schedule.,2/16/2024,28310151973
Deb Maloy,Beacon- MO,,Onboarding - In Progress,MO,Austin,38,100%,1/1/2025,N/A,N/A,2,Need to set up contract to initate services-pallning for approval and acquisitions in next 30-60 days.,7/11/2024,28309691540
Mary Pelletier,"Marrekech, Inc",,Sales - Initial Communication,CT,CT,80,20%,8/1/2025,Hancock,Courier,16,"ExD has long relationship with Hancock- their CTDDNA rep. thinks this will be a hard to convince exec to switch.
",6/12/2024,28306089585
Nanette Wrobel,ARC of Iroquis County (412187),ARC,Onboarding - Complete,IL,IL,53,100%,3/1/2024,Omnicare,TBD,,"OB, rec'd signed pofs 2/22; Sales: to go to onboarding",12/1/2023,28298690095
Blaire Reed,Southwind Fields,,Sales - Initial Communication,TX,Austin,80,10%,4/1/2025,Local,Central Office,1,Met at CoAct. Continual follow-up of opportunity. Reach out again after holiday,4/19/2024,28296138346
Deb Maloy,Show Me Support,,Sales - Presentation,MO,KS-Lawrence,30,30%,12/1/2025,Bruners,Courier to office,1,They have all our information and discussing possible pharmacy change.,8/23/2024,28310920584
Deb Maloy,The Phoenix Residence Inc,,Sales - Presentation,MN,Austin,100,10%,11/1/2025,Geritom,Courier,2,"Called and left message to return call
",9/27/2024,28300083240
Adam Chittam,Sunrise Community (TN Clarksville/ Knoxville),Sunrise,Sales - Initial Communication,TN,Austin,130,10%,8/1/2025,Multiple local/regional,Central Office,3,Will update to other line items as we begin servicing each additional state,1/23/2023,28310457662
AJ Forster,ARC of Centre County,,Sales - Initial Communication,PA,NJ,24,10%,6/1/2025,Boalsburg,TBD,1,Contacted DON for review of Emar Support per hubspot questionaire.,7/14/2023,28310304356
Jess Jacobs,Integrity Alliance,,Sales - Inactive,NE,Austin,30,50%,5/1/2025,Kohlls and Neighborhood LTC,Hybrid,7,"met with clinical team, they are downsizing due to staffing and will readdress in the new year.",3/8/2024,28308763937
Deb Maloy,Pam Dudley Center,,Sales - Inactive,MO,IL,20,20%,2/1/2025,,FedEx,4,"Spoke w/Lisa King, ED 7/2/2024 they are 1 year into a 3 year contract but asked for information and educational opportunities (per Wendi's notes) . Spoke to Lisa to introduce self-will send info and follow up in future.",5/24/2024,28301386930
AJ Forster,Community Options  - Ocean (NJ) (397305) – 45 via OB,Community Options,Onboarding - Complete,NJ,NJ,45,100%,1/1/2024,Local,Deliver-to-home,21,"Sales: Contract negotiation go live 2/1 and cycle 3/1..52 onboarding currently, 11 previously transferred",11/10/2023,28300768064
Holly DeRosett,South Eastern Services,,Sales - Inactive,CO,Austin,25,10%,4/1/2025,EZ Med,TBD,,"please remove from pipeline. They are going to be sticking with Accumed. Open to me checking in from time to time. 
",8/23/2024,28299154730
Adam Chittam,"Southern Choices, LLC",,Sales - Initial Communication,GA,GA,15,10%,12/1/2025,Dennards,Courier,1,"Interested in services from survey at DDNA, gave 5 out of 10 to current pharmacy",4/18/2024,28298350952
AJ Forster,Alliance Adult Care Services (372123),N/A,Onboarding - Complete,PA,NJ,8,100%,9/1/2024,PDC,Deliver-to-home,4,Contract in hand and documenation has been provided.,7/2/2024,28297204374
Nanette Wrobel,EMPOWER WNY (formerly CP Niagra Falls NY),,Sales - Initial Communication,NY,NJ,80,10%,9/1/2025,Parkview,Courier,10,presentation 3/1/2025,10/20/2023,28297048983
Blaire Reed,Emergence Health Network,,Sales - Inactive,TX,Austin,6,10%,3/1/2025,Genoa,Central Office,1,Ongoing communication with ADON. Remove from pipeline not large enough,2/23/2024,28310304355
AJ Forster,Partnerships for People,,Sales - Initial Communication,NJ,NJ,60,10%,5/1/2025,IPPC,Fed-Ex,1,Continue to reach out to leadership,,28309536930
Blaire Reed,1 on 1 KF Homes (2350),,Onboarding - Complete,TX,Austin,20,100%,6/1/2024,Medicine Man,Central Office,1,Sent pharmacy agreement. Checked in 4/19. No agreement or data back.,4/1/2024,28305932103
Deb Maloy,Center for Developmental Disabiled,,Sales - Initial Communication,MO,IL,150,10%,5/1/2025,Neighborhood LTC,FedEx,4,"Spoke to staff members at Starling Conference, will follow up for presentation.",2/14/2024,28303856033
Blaire Reed,Thomas & Lewin Associates (2342),,Onboarding - Complete,TX,Austin,33,100%,5/1/2024,TBD,Central Office,1,"Signed Contract. Onboarding call TBD. Patti, RN gathering clinical data.",,28302774534
Mary Pelletier,Mosaic CT,Mosaic,Sales - Initial Communication,CT,CT,40,20%,5/1/2025,Multiple,Courier,10,"Director of Clin. Services has not yet been available to schedule mtg-target end of Jan.
",8/16/2024,32369564964
Jess Jacobs,VIP Quality Services,,Sales - Presentation,KS,KS-Lawrence,30,25%,3/1/2025,Neighborhood LTC,Central Office,1,Working with Brittany Gore (DOO) to address Therap interface concerns,2/15/2024,28307990123
Jess Jacobs,"CrossRoads Residential, Inc (OB via Lawrence)",,Onboarding - Complete,KS,KS-Lawrence,6,100%,4/15/2024,Local Walgreens,Central Office,2,Onboarding directly through Lawrence pharmacy,3/8/2024,28304848739
Adam Chittam,"Timeck Care, Inc",,Sales - Initial Communication,TN,Austin,20,10%,11/1/2025,local,FedEx,1,Nurse missed the meal program so will continue with follow up and standard marketing outreach,2/2/2024,28304167325
Mary Pelletier,Oak Hill-New Home (OB via CT Pharmacy) (352016),,Onboarding - Complete,CT,CT,3,100%,2/1/2024,TBD,Courier,1,Await signed contract; to begin onboarding 9-10 homes then a 6/1 go Live for the remaining to total 180 beds.,,28303703468
AJ Forster,Chester WYE,,Sales - Contract Negotiation,MD,NJ,37,50%,5/1/2025,Pharmerica,Fed-Ex,1,"Due to leadership changed he would like to transition in May. 


",,28299927980
Blaire Reed,Daymark Living,Daymark Living,Sales - Contract Negotiation,TX,Austin,130,50%,5/1/2025,Omnicare & 30 indiviudals using local,Central Office,1,"Stopping by next week to invite to symposium
",4/19/2024,28302004257
Adam Chittam,Tri-County Center,,Sales - Initial Communication,TN,Austin,30,10%,7/1/2025,Local,FedEx,5,Following back up with Associate Director who was previously open for a conversation,10/25/2024,28296138345
Adam Chittam,"Just People, Inc.",,Sales - Initial Communication,GA,GA,200,40%,6/1/2025,Omnicare & local,Central Office,2,"Was updated that if things weren't better within the next few months they would be open to a presentation, following up in November",4/26/2024,28306707091
Adam Chittam,Pamco Care (VA),Pamco Care,Sales - Initial Communication,VA,Austin,80,30%,5/1/2025,Pharmacy Alternatives,FedEx,6,Met owner at VNPP and using the NC conversation to present to both states at once,10/16/2024,28302004256
Blaire Reed,Allen Residential Services,,Sales - Inactive,TX,Austin,6,75%,2/1/2025,Walmart,Central Office,1,1 Delivery location to group home. Left message with owner. Remove from pipeline. Not large enough.,8/2/2024,28301695665
Mary Pelletier,Sunrise CT - 2 (352036),Sunrise Group,Onboarding - Complete,CT,CT,85,100%,9/1/2024,Medical Pharmacy,Courier,24,Working with Adams enterprise acct 60/40 split; Gathering a changing roster,5/22/2024,28297204372
Deb Maloy,Preferred Family Health (PFH),,Sales - Initial Communication,MO,IL,200,10%,7/1/2025,ALPS,FedEx,4,Ongoing follow up,2/14/2024,28305158466
Deb Maloy,Easter Seals Midwest,,Sales - Inactive,MO,IL,200,10%,6/1/2025,Local,FedEx,4,REMOVE,3/8/2024,28297886568
AJ Forster,Inter Community Action,,Sales - Presentation,PA,NJ,48,25%,8/1/2025,Willetts Pharmacy,courier,14,Spoke with RN. Bringing materials to Ex. Dir for review.,5/10/2024,28304848738
AJ Forster,The Arc of Warren County,,Sales - Initial Communication,NJ,NJ,150,10%,7/1/2025,TBD,Deliver to home,20,Continue to reach out to leadership,2/16/2024,28298846749
Blaire Reed,Trinity Manor,,Sales - Initial Communication,TX,Austin,15,10%,4/1/2025,APS,Central Office,1,Ongoing communication f/u,9/6/2024,28306859024
Adam Chittam,Art of Living (GA),,Sales - Initial Communication,GA,GA,56,10%,6/1/2025,Local,Courier,1,"reconnecting in Q1, they have been radio silent",2/1/2024,28305779214
Deb Maloy,Benchmark St Marys - (182212),Benchmark Human Services,Onboarding - Complete,OH,Austin,28,100%,6/1/2024,Williams Brothers,Central Office,1,Notice was given to end services 5/31/24 with Wms. Bros,,28301850446
Adam Chittam,InCommunity (EnAble) (252058),,Onboarding - Complete,GA,GA,63,100%,4/1/2024,PAL,Courier,37,Sales:  initial onboarding meeting scheduled for Wed 1/24,6/23/2023,28298350951
Blaire Reed,Strive INC,,Sales - Initial Communication,LA,LA,12,25%,4/1/2025,Omnicare,Central Office,2,Drop in visit completed. Cabrini discussing with ED. Check in again after holiday,8/23/2024,28310920583
Adam Chittam,Pamco Care (NC),Pamco Care,Sales - Presentation,NC,Austin,20,60%,5/1/2025,Pharmacy Alternatives,FedEx,4,Still reaching out to get presentation scheduled for NC branch,10/16/2024,28306089583
Adam Chittam,Art of Living (SC),,Sales - Initial Communication,SC,SC,10,10%,6/1/2025,Multiple,Courier,1,Reaching out to reconnect and get conversations restarted,4/1/2024,28304320860
Nanette Wrobel,A+ Autism Plus Solutions (412193),,Onboarding - Complete,IL,IL,6,100%,8/1/2024,Rosen Morseview,central office,1,starting 7/1/24,5/24/2024,28300456067
Blaire Reed,Cartman & Hampton INC,,Sales - Contract Negotiation,TX,Austin,25,30%,5/1/2025,Oasis Pharmacy,Central Office,1,Owner Debra let me know nursing staff is still not solidified,2/23/2024,28298350950
AJ Forster,JEVS,,Sales - Presentation,PA,NJ,118,50%,5/1/2025,Willetts,Deliver-to-home,1,Presentation went great. Obtained addresses for margin analysis,10/4/2024,28297048982
Holly DeRosett,Laradon,,Sales - Initial Communication,CO,Austin,75,10%,6/1/2025,PDC and varies,,,"Sent note to Angela, with meeting dates for first of January",8/16/2024,28297359370
Jess Jacobs,Lakes Life Skills,,Sales - Initial Communication,IA,Austin,40,25%,3/1/2025,Local,Central,3,"working with admin director, Amy Lein to schedule presentation",5/10/2024,28296894752
Blaire Reed,Atarah Family Services (2680),,Onboarding - Complete,TX,Austin,16,100%,8/1/2024,Hometown & genoa,Central Office,1,Owner should be back this week to sign. Nurse Rachelle said owner is reviewing agreement.,4/25/2024,28296894751
Jess Jacobs,TARC,,Sales - Inactive,KS,KS-Lawrence,75,10%,3/1/2025,,,,"coordinating time to present to Eileen Doran, ED and Julie Forster, DON",3/1/2024,28301695664
Jess Jacobs,Alpha House Inc.,,Sales - Initial Communication,KS,KS-Wichita,60,10%,4/1/2025,Genoa,Central Office,2,"met with Intake Admin, Heidi Spooner, I need to speak with Tamecca Rolf",9/6/2024,28309847321
AJ Forster,Community Access Unlimited,,Sales - Initial Communication,NJ,NJ,300,10%,9/1/2025,Elizabeth,Deliver-to-home,1,Continue to reach out to leadership,10/10/2023,28309228448
AJ Forster,Arc Of Ocean,,Onboarding - Complete,NJ,NJ,7,100%,9/1/2024,,,,Triage onboarded,,28309074301
Blaire Reed,Avondale,,Sales - Initial Communication,TX,Austin,18,10%,4/1/2025,Local,Central Office,1,Ongoing communication with Steve. Working to connect back with DON,4/19/2024,28302004255
Nanette Wrobel,New Hope Community,,Sales - Initial Communication,NY,NJ,50,20%,9/1/2025,HRLTC,Courier,8,followup from previous rep,4/20/2023,28300083239
Deb Maloy,Family Ties,,Sales - Initial Communication,KY,Austin,18,15%,7/1/2025,Pharmacy Alternatives,FedEx,1,"Called, left message to return call.


",2/14/2024,28298846750
AJ Forster,Community Options - Central PA - Camp Hill (377020),Community Options,Onboarding - Complete,PA,NJ,16,100%,4/1/2024,PDC,Deliver-to-home,9,"OB, 3/8: NEED Call, insurance info, cycle dates, delivery confirmation (Call with 3 region directors for CO-PA on 2/1, Central will be 4/1 go live d/t survey);  Sales: Go Live 3/1 for Lancaster",11/22/2023,28296894750
